10001,23-02-1901,2401,2,99980
10002,26-08-2016,2402,1,134990
10003,17-09-2021,2403,3,389970
10004,11-06-2024,2404,1,29450
10005,28-02-1712,2405,5,565000
10006,09-09-2020,2406,3,1439970
10007,11-11-2011,2407,2,999980
10008,13-12-2012,2408,1,939990
10009,20-10-2023,2409,2,960000
10010,15-08-2020,2410,1,939990
10011,30-04-2021,2402,4,199960
10012,04-07-2015,2401,12,599880
10013,10-05-2024,2405,3,339000
10014,30-06-2022,2409,1,480000
10015,13-08-2024,2401,5,249950
10016,25-09-2024,2408,1,939990
10017,18-03-2010,2405,2,226000
10018,15-04-2020,2402,3,404970
10019,17-10-2024,2403,1,129990
10020,20-05-2016,2401,1,49990
10021,24-06-2024,2410,1,1621000
10022,24-06-2024,2411,1,2300000
10023,25-06-2024,2411,1,2300000
10024,25-06-2024,2411,1,2300000
10025,25-06-2024,2411,2,4600000
10026,25-06-2024,2411,1,146505152
10027,25-06-2024,2411,3,439515456
